test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,55.24,14.56,45.80
CPUStress,32,10,73.14,14.73,45.10
CPUStress,32,20,85.21,14.91,45.80
CPUStress,32,30,95.55,14.82,46.10
CPUStress,32,40,104.38,14.78,48.00
CPUStress,32,50,113.44,14.86,49.10
CPUStress,32,60,122.91,15.04,50.90
CPUStress,32,70,129.12,15.05,52.10
CPUStress,32,80,133.40,15.11,53.70
CPUStress,32,90,137.36,14.97,54.70
CPUStress,32,100,140.99,14.92,55.90
ipsec,32,100,152.20,14.61,56.80
VMStress,32,100,127.48,38.07,53.30
maximize,32,100,138.94,21.79,56.40
