test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,49.64,10.85,42.80
CPUStress,32,10,62.34,10.77,42.70
CPUStress,32,20,71.93,10.88,42.20
CPUStress,32,30,79.93,11.03,43.00
CPUStress,32,40,87.52,11.10,44.70
CPUStress,32,50,94.61,11.32,45.50
CPUStress,32,60,100.72,11.53,46.80
CPUStress,32,70,101.37,11.04,48.00
CPUStress,32,80,106.55,11.30,48.70
CPUStress,32,90,110.76,11.39,50.40
CPUStress,32,100,108.46,10.97,50.50
ipsec,32,100,120.47,10.67,51.60
VMStress,32,100,103.28,33.03,48.50
maximize,32,100,110.92,18.07,51.40
