test,threads,load,PkgWatt,RAMWatt,PkgTmp
CPUStress,32,0,48.92,10.83,41.20
CPUStress,32,10,62.63,10.93,40.60
CPUStress,32,20,73.63,11.10,40.30
CPUStress,32,30,82.58,11.02,40.60
CPUStress,32,40,90.95,11.17,42.10
CPUStress,32,50,96.16,11.07,43.80
CPUStress,32,60,102.71,11.06,45.20
CPUStress,32,70,107.90,11.26,45.80
CPUStress,32,80,112.97,11.35,47.60
CPUStress,32,90,116.51,11.30,48.60
CPUStress,32,100,116.55,11.14,49.40
ipsec,32,100,124.75,10.88,50.80
VMStress,32,100,102.95,30.94,48.90
maximize,32,100,114.85,16.75,50.70
