id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries,core_kwh,mem_kwh,average_co2e,marginal_co2e,embodied_co2e,avg_ci,ci_timeseries
0,ichnos_cpu_med_mem_med_w01_t02,1781710523000,1781710800000,2,185.352504,Intel Xeon Silver 4314,1086832640.0,,,0.00043044032288720843,5.1820467735989885e-06,0.00095272027624359,0.00095272027624359,0.0,1.0,
1,ichnos_cpu_med_mem_med_w01_t03,1781710523000,1781710800000,1,194.608997,Intel Xeon Silver 4314,1086693376.0,,,0.00046441488791661053,4.46103048627705e-06,0.001026863651695017,0.001026863651695017,0.0,1.0,
2,ichnos_cpu_med_mem_med_w01_t04,1781710523000,1781710800000,2,189.21475,Intel Xeon Silver 4314,1086734336.0,,,0.00044304929360546876,4.822984792734783e-06,0.0009808661595709625,0.0009808661595709625,0.0,1.0,
3,ichnos_cpu_med_mem_med_w01_t01,1781710524000,1781710800000,2,189.690169,Intel Xeon Silver 4314,1086713856.0,,,0.00044065026258700005,4.850129679771424e-06,0.0009762382454553958,0.0009762382454553958,0.0,1.0,
4,ichnos_cpu_med_mem_med_w02_t01,1781711131000,1781711400000,2,191.436455,Intel Xeon Silver 4314,1086705664.0,,,0.0004353055603077343,4.683569240328471e-06,0.000990619986527907,0.000990619986527907,0.0,1.0,
5,ichnos_cpu_med_mem_med_w02_t02,1781711131000,1781711400000,1,185.93531,Intel Xeon Silver 4314,1086730240.0,,,0.0004209730364491667,4.727190413516362e-06,0.0009584506092871735,0.0009584506092871735,0.0,1.0,
6,ichnos_cpu_med_mem_med_w02_t03,1781711131000,1781711400000,1,193.009989,Intel Xeon Silver 4314,1086820352.0,,,0.00044729651677046693,4.332698260894245e-06,0.001019118952367924,0.001019118952367924,0.0,1.0,
7,ichnos_cpu_med_mem_med_w02_t04,1781711131000,1781711400000,2,191.243377,Intel Xeon Silver 4314,1086705664.0,,,0.00043129398952496015,5.031796833187421e-06,0.0009845877902500341,0.0009845877902500341,0.0,1.0,
8,ichnos_cpu_med_mem_med_w03_t01,1781711739000,1781712000000,2,187.178047,Intel Xeon Silver 4314,1086689280.0,,,0.00041296449085073434,4.5442124227523796e-06,0.0009697847369430834,0.0009697847369430834,0.0,1.0,
9,ichnos_cpu_med_mem_med_w03_t02,1781711739000,1781712000000,2,187.722529,Intel Xeon Silver 4314,1086713856.0,,,0.00042210486139305733,4.20343285216999e-06,0.0009902259658156123,0.0009902259658156123,0.0,1.0,
10,ichnos_cpu_med_mem_med_w03_t03,1781711739000,1781712000000,2,185.823517,Intel Xeon Silver 4314,1086685184.0,,,0.00040820781096975007,4.586414663681031e-06,0.0009588371620316767,0.0009588371620316767,0.0,1.0,
11,ichnos_cpu_med_mem_med_w03_t04,1781711739000,1781712000000,2,189.586483,Intel Xeon Silver 4314,1086697472.0,,,0.00041484188540317184,4.882115514183998e-06,0.0009749352309584211,0.0009749352309584211,0.0,1.0,
12,ichnos_cpu_med_mem_med_w04_t01,1781712348000,1781712600000,2,190.607763,Intel Xeon Silver 4314,1086791680.0,,,0.0004060302741455625,4.387928883361817e-06,0.0009861877112122836,0.0009861877112122836,0.0,1.0,
13,ichnos_cpu_med_mem_med_w04_t02,1781712348000,1781712600000,1,194.089852,Intel Xeon Silver 4314,1086742528.0,,,0.0004100512041972501,4.713962142723084e-06,0.0009988088350327236,0.0009988088350327236,0.0,1.0,
14,ichnos_cpu_med_mem_med_w04_t03,1781712348000,1781712600000,2,184.080839,Intel Xeon Silver 4314,1086656512.0,,,0.00039964333648647923,4.058272732456208e-06,0.0009700501112187441,0.0009700501112187441,0.0,1.0,
15,ichnos_cpu_med_mem_med_w04_t04,1781712348000,1781712600000,2,192.648608,Intel Xeon Silver 4314,1086697472.0,,,0.00040860769756800007,4.428312507728578e-06,0.0009924812783537534,0.0009924812783537534,0.0,1.0,
