task_id,hostname,hash,native_id,process,tag,name,status,exit,module,container,cpus,time,disk,memory,attempt,submit,start,complete,duration,realtime,queue,%cpu,%mem,rss,vmem,peak_rss,peak_vmem,rchar,wchar,syscr,syscw,read_bytes,write_bytes,vol_ctxt,inv_ctxt,workdir,scratch,error_action,cpu_model
3,hu-worker-c40,07/010160,nf-07010160b84cfd832b8014785e07067f-3e7b9,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS,[human_g1k_v37_decoy.fasta],NFCORE_SAREK:SAREK:PREPARE_INTERVALS:BUILD_INTERVALS ([human_g1k_v37_decoy.fasta]),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1770554185348,1770554186000,1770554187000,1652,0,-,33.0,0.0,2961408,11575296,2961408,11579392,52453,2586,145,17,0,12288,3,0,/input/data/work/07/010160b84cfd832b8014785e07067f,true,-,Intel Xeon Silver 4314
1,hu-worker-c44,73/cf7171,nf-73cf717176020ea9fe2fd5ab5f6aac92-a8403,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES,G1000_alleles_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_ALLELES (G1000_alleles_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1770554185256,1770554193000,1770554194000,8744,0,-,90.3,0.0,3006464,11575296,3006464,11579392,11009431,33652569,505,1058,2482176,33701888,2,1,/input/data/work/73/cf717176020ea9fe2fd5ab5f6aac92,true,-,Intel Xeon Silver 4314
4,hu-worker-c40,60/ccbf0d,nf-60ccbf0d8e55fcf6f60367146a070c3b-fb11e,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC,GC_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_GC (GC_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1770554185442,1770554186000,1770554193000,7558,4000,-,96.0,0.0,9748480,42328064,9748480,42336256,113274628,388442026,1076,11875,4694016,388448256,28,145,/input/data/work/60/ccbf0d8e55fcf6f60367146a070c3b,true,-,Intel Xeon Silver 4314
90,hu-worker-c45,96/5a7660,nf-965a76603942e7288f6ebd74d92a9372-48af6,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET,input,NFCORE_SAREK:SAREK:PREPARE_REFERENCE_CNVKIT:CNVKIT_ANTITARGET (input),COMPLETED,0,-,quay.io/biocontainers/cnvkit:0.9.9--pyhdfd78af_0,2,14400000,-,12884901888,1,1770554191531,1770554192000,1770554197000,5469,4000,-,113.1,0.1,142065664,4623458304,142065664,4751417344,53569849,119137,7678,34,0,147456,30,252,/input/data/work/96/5a76603942e7288f6ebd74d92a9372,true,-,Intel Xeon Silver 4314
89,hu-worker-c44,3a/c08e93,nf-3ac08e9302163cbadc4113f894f3b90c-a2f20,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED,human_g1k_v37_decoy.fasta.bed,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (human_g1k_v37_decoy.fasta.bed),COMPLETED,0,-,quay.io/biocontainers/gawk:5.1.0,1,14400000,-,1073741824,1,1770554191556,1770554193000,1770554195000,3444,0,-,18.9,0.0,2920448,11575296,2920448,11579392,51385,2611,145,58,0,180224,3,2,/input/data/work/3a/c08e9302163cbadc4113f894f3b90c,true,-,Intel Xeon Silver 4314
15,hu-worker-c42,7d/9199f5,nf-7d9199f538ee65d9c331de227e65595c-670c8,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI,G1000_loci_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_LOCI (G1000_loci_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1770554185022,1770554194000,1770554196000,10978,1000,-,92.6,0.0,3014656,11575296,3014656,11579392,9300391,37200248,490,1168,0,37253120,2,1,/input/data/work/7d/9199f538ee65d9c331de227e65595c,true,-,Intel Xeon Silver 4314
11,hu-worker-c42,d2/b2723a,nf-d2b2723a2d3e0113b24faf8f8c0a184a-cecb5,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT,RT_G1000_hg19.zip,NFCORE_SAREK:SAREK:PREPARE_GENOME:UNZIP_RT (RT_G1000_hg19.zip),COMPLETED,0,-,quay.io/biocontainers/p7zip:15.09--h2d50403_4,1,14400000,-,1073741824,1,1770554185590,1770554195000,1770554200000,14410,4000,-,97.6,0.0,9764864,42328064,9764864,42336256,114384470,435495664,1084,13311,0,435499008,16,86,/input/data/work/d2/b2723a2d3e0113b24faf8f8c0a184a,true,-,Intel Xeon Silver 4314
106,hu-worker-c45,50/b570e8,nf-50b570e8bf6bbb206a5c5250c00bc97e-228bb,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,14_1-107349540,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (14_1-107349540),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1770554201265,1770554203000,1770554203000,1735,0,-,34.0,0.0,3186688,5640192,3186688,5644288,87329,3306,211,47,4194304,16384,7,7,/input/data/work/50/b570e8bf6bbb206a5c5250c00bc97e,true,-,Intel Xeon Silver 4314
110,hu-worker-c40,7a/e84af4,nf-7ae84af47de078f61e781b73f2bdf013-965dd,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,18_1-78077248,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (18_1-78077248),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1770554201382,1770554203000,1770554203000,1618,0,-,27.3,0.0,3174400,5640192,3174400,5644288,87490,3292,211,47,8392704,16384,7,10,/input/data/work/7a/e84af47de078f61e781b73f2bdf013,true,-,Intel Xeon Silver 4314
98,hu-worker-c45,92/2d4fa9,nf-922d4fa9c6c2baa4012bc714688b9c0c-8f335,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,7_1-159138663,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (7_1-159138663),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1770554201453,1770554202000,1770554203000,1547,0,-,44.6,0.0,3194880,5640192,3194880,5644288,87324,3371,226,47,4194304,16384,4,4,/input/data/work/92/2d4fa9c6c2baa4012bc714688b9c0c,true,-,Intel Xeon Silver 4314
112,hu-worker-c42,4d/73cd9f,nf-4d73cd9f62bcf4b25bb96b86cde02ff8-6e140,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,Y_1-59373566,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (Y_1-59373566),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1770554201419,1770554202000,1770554202000,581,0,-,37.5,0.0,4542464,11034624,4542464,11038720,88571,4299,211,47,0,16384,7,6,/input/data/work/4d/73cd9f62bcf4b25bb96b86cde02ff8,true,-,Intel Xeon Silver 4314
109,hu-worker-c40,5b/137798,nf-5b1377981af7205b298e6c76c9b6432f-b1d47,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT,17_1-81195210,NFCORE_SAREK:SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (17_1-81195210),COMPLETED,0,-,quay.io/biocontainers/tabix:1.11--hdfd78af_0,1,14400000,-,1073741824,1,1770554201487,1770554203000,1770554203000,1513,0,-,6.3,0.0,3215360,5640192,3215360,5644288,87514,3311,210,47,4194304,16384,4,5,/input/data/work/5b/1377981af7205b298e6c76c9b6432f,true,-,Intel Xeon Silver 4314
