start_ms,end_ms,duration_ms,start_time,end_time
1769722228000,1769722239000,11000,2026-01-29 21:30:28,2026-01-29 21:30:39
1769722405000,1769722424000,19000,2026-01-29 21:33:25,2026-01-29 21:33:44
1769723228000,1769723234000,6000,2026-01-29 21:47:08,2026-01-29 21:47:14
1769723474000,1769723477000,3000,2026-01-29 21:51:14,2026-01-29 21:51:17
1769724329000,1769724334000,5000,2026-01-29 22:05:29,2026-01-29 22:05:34
1769724447000,1769724451000,4000,2026-01-29 22:07:27,2026-01-29 22:07:31
1769725586000,1769725589000,3000,2026-01-29 22:26:26,2026-01-29 22:26:29
1769727275000,1769727279000,4000,2026-01-29 22:54:35,2026-01-29 22:54:39
1769727459000,1769727466000,7000,2026-01-29 22:57:39,2026-01-29 22:57:46
1769727499000,1769727504000,5000,2026-01-29 22:58:19,2026-01-29 22:58:24
1769727980000,1769727986000,6000,2026-01-29 23:06:20,2026-01-29 23:06:26
1769728450000,1769728456000,6000,2026-01-29 23:14:10,2026-01-29 23:14:16
1769728699000,1769728706000,7000,2026-01-29 23:18:19,2026-01-29 23:18:26
1769728727000,1769728731000,4000,2026-01-29 23:18:47,2026-01-29 23:18:51
1769729359000,1769729367000,8000,2026-01-29 23:29:19,2026-01-29 23:29:27
1769729650000,1769729656000,6000,2026-01-29 23:34:10,2026-01-29 23:34:16
1769729872000,1769729876000,4000,2026-01-29 23:37:52,2026-01-29 23:37:56
1769730877000,1769730881000,4000,2026-01-29 23:54:37,2026-01-29 23:54:41
1769730954000,1769730957000,3000,2026-01-29 23:55:54,2026-01-29 23:55:57
1769731204000,1769731209000,5000,2026-01-30 00:00:04,2026-01-30 00:00:09
1769731370000,1769731397000,27000,2026-01-30 00:02:50,2026-01-30 00:03:17
1769731742000,1769731748000,6000,2026-01-30 00:09:02,2026-01-30 00:09:08
1769732068000,1769732071000,3000,2026-01-30 00:14:28,2026-01-30 00:14:31
1769732173000,1769732178000,5000,2026-01-30 00:16:13,2026-01-30 00:16:18
1769732301000,1769732307000,6000,2026-01-30 00:18:21,2026-01-30 00:18:27
1769732611000,1769732619000,8000,2026-01-30 00:23:31,2026-01-30 00:23:39
1769732785000,1769732792000,7000,2026-01-30 00:26:25,2026-01-30 00:26:32
1769732805000,1769732814000,9000,2026-01-30 00:26:45,2026-01-30 00:26:54
1769732821000,1769732828000,7000,2026-01-30 00:27:01,2026-01-30 00:27:08
1769732856000,1769732862000,6000,2026-01-30 00:27:36,2026-01-30 00:27:42
1769733328000,1769733332000,4000,2026-01-30 00:35:28,2026-01-30 00:35:32
1769733334000,1769733337000,3000,2026-01-30 00:35:34,2026-01-30 00:35:37
1769733692000,1769733697000,5000,2026-01-30 00:41:32,2026-01-30 00:41:37
1769733704000,1769733708000,4000,2026-01-30 00:41:44,2026-01-30 00:41:48
1769733715000,1769733718000,3000,2026-01-30 00:41:55,2026-01-30 00:41:58
1769734548000,1769734553000,5000,2026-01-30 00:55:48,2026-01-30 00:55:53
1769734750000,1769734759000,9000,2026-01-30 00:59:10,2026-01-30 00:59:19
1769734861000,1769734867000,6000,2026-01-30 01:01:01,2026-01-30 01:01:07
1769734873000,1769734878000,5000,2026-01-30 01:01:13,2026-01-30 01:01:18
1769734909000,1769734913000,4000,2026-01-30 01:01:49,2026-01-30 01:01:53
1769735098000,1769735103000,5000,2026-01-30 01:04:58,2026-01-30 01:05:03
1769735313000,1769735321000,8000,2026-01-30 01:08:33,2026-01-30 01:08:41
1769735342000,1769735374000,32000,2026-01-30 01:09:02,2026-01-30 01:09:34
1769735531000,1769735564000,33000,2026-01-30 01:12:11,2026-01-30 01:12:44
1769735592000,1769735602000,10000,2026-01-30 01:13:12,2026-01-30 01:13:22
1769735864000,1769735869000,5000,2026-01-30 01:17:44,2026-01-30 01:17:49
1769735972000,1769735984000,12000,2026-01-30 01:19:32,2026-01-30 01:19:44
1769736208000,1769736214000,6000,2026-01-30 01:23:28,2026-01-30 01:23:34
1769736232000,1769736234000,2000,2026-01-30 01:23:52,2026-01-30 01:23:54
1769736235000,1769736239000,4000,2026-01-30 01:23:55,2026-01-30 01:23:59
1769736260000,1769736265000,5000,2026-01-30 01:24:20,2026-01-30 01:24:25
1769736386000,1769736398000,12000,2026-01-30 01:26:26,2026-01-30 01:26:38
1769737312000,1769737471000,159000,2026-01-30 01:41:52,2026-01-30 01:44:31
