id,name,start,end,cpu_count,avg_cpu_usage,cpu_model,memory,rapl_timeseries,cpu_usage_timeseries,core_kwh,mem_kwh,average_co2e,marginal_co2e,embodied_co2e,avg_ci,ci_timeseries
1,NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GETCHROMSIZES,1769704487000,1769704500000,1,60.9,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,6442450944.0,,,4.465911892361111e-06,8.493333333333334e-06,0.005284381457031251,0.005284381457031251,0.0,279.0,
2,NFCORE_RNASEQ:PREPARE_GENOME:GTF_FILTER,1769704487000,1769704500000,1,79.4,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,6442450944.0,,,5.8225517939814815e-06,8.493333333333334e-06,0.009217227578125,0.009217227578125,0.0,279.0,
4,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,1769704484000,1769704500000,2,76.0,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,12884901888.0,,,7.585510101010103e-06,2.090666666666667e-05,0.04769590390909092,0.04769590390909092,0.0,279.0,
3,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,1769704484000,1769704500000,2,79.7,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,12884901888.0,,,6.922428030303032e-06,2.090666666666667e-05,0.055806031459517055,0.055806031459517055,0.0,279.0,
5,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,1769704515000,1769704647000,2,82.4,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,12884901888.0,,,6.135509722222223e-05,0.00017248000000000003,0.06523999212500001,0.06523999212500001,0.0,279.0,
6,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,1769704528000,1769704650000,2,99.7,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,12884901888.0,,,6.861269762731482e-05,0.0001594133333333334,0.06361926263802085,0.06361926263802085,0.0,279.0,
7,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,1769704583000,1769704694000,2,100.1,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,12884901888.0,,,6.942040850694443e-05,0.00014504000000000003,0.0598344539734375,0.0598344539734375,0.0,279.0,
8,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT,1769704603000,1769704727000,2,99.9,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,12884901888.0,,,7.727488892045458e-05,0.00016202666666666668,0.06676513400880683,0.06676513400880683,0.0,279.0,
9,NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA,1769704653000,1769704749000,12,76.3,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,64424509440.0,,,3.976270454545456e-05,0.0006272,0.18608259456818182,0.18608259456818182,0.0,279.0,
11,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,1769704655000,1769704800000,6,162.2,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,38654705664.0,,,0.00013266866464120368,0.0005684,0.21178559115364584,0.21178559115364584,0.0,279.0,
13,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,1769704733000,1769704800000,6,154.0,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,38654705664.0,,,6.446524421296294e-05,0.00026263999999999997,0.29013258728124997,0.29013258728124997,0.0,279.0,
10,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,1769704731000,1769704800000,12,600.5,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,64424509440.0,,,0.00025847189003314405,0.0004508,1.4941891690337359,1.4941891690337359,0.0,279.0,
12,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,1769704753000,1769704800000,12,561.7,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,64424509440.0,,,0.00014331195714962128,0.0003070666666666667,1.8848345406711648,1.8848345406711648,0.0,279.0,
15,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,1769704819000,1769705000000,6,198.7,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,38654705664.0,,,0.00020287379239004624,0.0007095199999999999,0.2545578680768229,0.2545578680768229,0.0,279.0,
16,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC,1769705003000,1769705100000,6,165.2,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,38654705664.0,,,0.0001001179355850168,0.00038024,0.32192400328428034,0.32192400328428034,0.0,279.0,
14,NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE,1769705008000,1769705100000,12,582.5,Intel(R) Xeon(R) CPU E5-2640 v2 @ 2.00GHz,64424509440.0,,,0.0003022966001157407,0.0006010666666666667,2.1231491560872398,2.1231491560872398,0.0,279.0,
